id,price_000,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,apt,floor,age_0_10,age_10_20,age_20_more,num_room,num_bath,num_garage,area_m2,ses,pop_dens,pcnt_indu,pcnt_com,pcnt_insti,pcnt_vacant,pcn_green,homicides,house,ses_bin,lnprice,price_hi
503254,44000,0,0,0,0,1,0,1,2,0,1,0,3,3,0,59,3,726.02,2.44,0,2.12,8.18,0.46,234,0,0,10.69195,0
503260,44000,0,0,0,0,0,1,1,1,1,0,0,3,2,1,64,3,152.01,12.12,0,1.01,5.5,0.5,52,0,0,10.69195,0
503266,44000,0,0,0,1,0,0,1,3,1,0,0,3,2,1,65,3,463.5,19.02,0,5.69,16.19,1.35,52,0,0,10.69195,0
503276,44249,0,0,0,0,0,1,0,0,1,0,0,2,2,1,47,3,215.15,7.5,0,1.87,8.94,0.94,52,1,0,10.69759,0
503305,44884,0,0,0,0,1,0,1,1,0,0,0,2,1,1,46,3,95.43,16.69,0,0.17,2.59,0.16,52.99,0,0,10.71184,0
503313,44900,0,0,1,0,0,0,1,2,0,0,0,3,2,1,64,4,235.61,6.31,0,1.58,12.44,9.82,80.83,0,0,10.71219,0
503351,45000,1,0,0,0,0,0,1,5,1,0,0,2,1,1,42,3,592.96,37.69,0,1.26,6.56,0.33,234,0,0,10.71442,0
503355,45000,0,0,0,1,0,0,1,3,0,1,0,3,1,1,43,3,805.34,0,0,2.83,0,1.6,52,0,0,10.71442,0
503364,45000,0,0,0,1,0,0,1,3,0,0,0,3,2,0,45,3,721.9,19.64,0,1.23,14.26,0.56,234,0,0,10.71442,0
503420,45000,0,0,0,0,0,1,1,4,0,1,0,2,1,0,51,3,699.41,8.91,0,1.98,7.64,0.43,234,0,0,10.71442,0
503478,45000,0,1,0,0,0,0,1,3,1,0,0,3,2,0,58,3,726.02,2.44,0,2.12,8.18,0.46,234,0,0,10.71442,0
503510,45000,0,0,0,1,0,0,1,1,0,1,0,3,2,0,61,4,316.99,1.59,0,0.4,26.33,45.14,195.49,0,0,10.71442,0
503557,45000,0,0,0,1,0,0,1,2,0,0,0,3,2,1,66,3,792.85,11.97,0,1.1,19.35,0.71,234,0,0,10.71442,0
503558,45000,0,0,0,0,1,0,1,3,0,1,0,3,1,0,66,3,489.52,0,0,1.95,0,1.17,52,0,0,10.71442,0
503567,45000,1,0,0,0,0,0,1,4,1,0,0,3,2,2,68,3,360.88,9.54,0,0.71,3.72,0.42,52,0,0,10.71442,0
503581,45000,0,0,0,0,1,0,1,5,0,1,0,2,1,1,70,3,450.2,0,0,2.34,0,1.4,52,0,0,10.71442,0
503605,45000,0,0,0,1,0,0,1,3,0,1,0,2,1,0,79,3,266.22,8.54,0,2.94,8.73,1.09,52,0,0,10.71442,0
503643,45000,0,0,0,1,0,0,1,2,0,0,1,3,1,1,126,3,420.88,1.09,0,2.25,1.12,1.33,52,0,0,10.71442,0
503649,45000,0,0,0,1,0,0,1,2,0,1,0,2,1,0,160,4,213,35.81,0,0,40.87,0,52,0,0,10.71442,0
503652,45000,0,0,1,0,0,0,0,0,0,0,1,3,2,0,285,4,213,35.81,0,0,40.87,0,52,1,0,10.71442,0
503684,45663,0,0,0,1,0,0,1,5,0,1,0,3,1,0,58,3,725.78,2.44,0,2.12,8.18,0.46,234,0,0,10.72904,0
503688,45776,0,0,0,1,0,0,1,2,0,1,0,3,2,0,109,3,301.78,8.94,0,3.44,8.5,1.17,52,0,0,10.73151,0
503714,46000,0,0,0,1,0,0,1,2,0,1,0,4,2,1,52,3,470.34,2.78,0,0.7,13.83,20.17,113.68,0,0,10.7364,0
503722,46000,0,0,0,0,1,0,0,0,0,1,0,2,2,0,55,3,215.15,7.5,0,1.87,8.94,0.94,52,1,0,10.7364,0
503733,46000,0,0,0,0,0,1,1,3,0,1,0,3,2,1,58,3,166.85,22.96,0,0,12.55,0.21,54.86,0,0,10.7364,0
503737,46000,1,0,0,0,0,0,1,5,0,1,0,3,1,1,58,3,703.23,0,0,0.61,0.1,0.03,52,0,0,10.7364,0
503742,46000,0,0,1,0,0,0,1,4,1,0,0,3,2,0,60,3,726.02,2.44,0,2.12,8.18,0.46,234,0,0,10.7364,0
503753,46000,0,0,0,1,0,0,1,2,0,1,0,3,2,1,66,3,236.74,10.42,0,1.06,11.19,2.36,76.45,0,0,10.7364,0
503759,46000,0,0,0,0,1,0,1,3,0,1,0,3,2,0,70,3,619.1,11.67,0,5.35,8.14,1.68,52,0,0,10.7364,0
503760,46000,0,0,0,0,1,0,1,3,0,1,0,3,2,0,70,3,617.27,11.76,0,5.36,8.23,1.67,52,0,0,10.7364,0
